#,Status,Tracker,Priority,Subject,Assigned to,Category,Target version,Author,Start,Due date,% Done,Estimated time,Created,Updated,Likelihood,Severity,Found in Version,Impact,Expected Use,OS,Support Group,Description
34,Pending,Bug,Normal, Path required in cmfe filenames? ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,4 - Common,3 - Major Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008047cq-submitter: Brad Whitlockcq-submit-date: 05/18/07
The cmfe expressions seem to need the database path. VisIt stores filenames using the entire path internally so perhaps the lack of path in the filename prevents cmfe from finding the right database. Richard Sharp complains that he is ""in that directory so VisIt should find the files"".
dagobah 1016% mkdir richarddagobah 1017% cd richard/dagobah 1018% ln -s ../wave/wave0000.silo A000.silodagobah 1019% ln -s ../wave/wave0010.silo A010.silodagobah 1020% ln -s ../wave/wave0020.silo A020.silodagobah 1021% ln -s ../wave/wave0030.silo A030.silodagobah 1022% ln -s ../wave/wave0200.silo B000.silodagobah 1023% ln -s ../wave/wave0210.silo B010.silodagobah 1024% ln -s ../wave/wave0220.silo B020.silodagobah 1025% ln -s ../wave/wave0230.silo B030.silo
1. Open A*.silo database2. A_minus_B = pressure - pos_cmfe(<B*.silo database:pressure>, quadmesh, 1.)3. Create Pseudocolor of A_minus_B4. Draw
Pseudocolor:  ()viewer: The file ""B*.silo database"" does not exist.
This expression works and is what we want. It must need the path.pressure - pos_cmfe(</home/whitlocb/data/richard/B*.silo database:pressure>, quadmesh, 1.)
"
35,Pending,Bug,Normal, Hard to see error message when cannot open visit.py during Macro recording ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,3 - Major Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008001cq-submitter: Kathleen S. Bonnellcq-submit-date: 04/30/07
If the cli cannot open 'visit.py' log file, Macro recordingfails.
A message is printed in the cli window, but is a bit hard to see, due to the fact it gets printed before the 'Added new client' message (see below), plus, attention is on the Macro window, not the cli.
Can we also add this message to the gui when doing Macrorecording, otherwise recording appears to fail 'silently'.
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Could not open visit.py log file.VisIt: Message - Added a new client to the viewer.Python 2.1.2 (#1, Nov  3 2005, 14:49:32) [GCC 3.4.4 20050721 (Red Hat 3.4.4-2)] on linux2Type ""copyright"", ""credits"" or ""license"" for more information.


"
36,Pending,Feature,Normal, Add some path to tease out negative volume tets. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,07/06/2010 07:43 pm,,,2.12.3,3 - Medium,2 - Rare,All,DOE/ASC,"
cq-id: VisIt00008918cq-submitter: Cyrus Harrisoncq-submit-date: 04/10/09
Hank Shay has some data where the simulation says there are inverted tets. To find out where things are going wrong he  tried to use the volume expression & look for negative volumes - but it appears VisIt is being too smart here and fixing the inverted tets somewhere in the pipeline.  For debugging he wants a version of the volume expression that can identify this case.
"
37,Pending,Bug,Normal, Remote host name does not replace 'local host' in File open window after connecting ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,2 - Minor Irritation,2.0.0,,,All,DOE/ASC,"
rm-id: 18rm-submitter: Anonymousrm-submit-date: 04/19/2010 02:56 pm
I used 'File open' to connect to yana.  While connecting, ""LLNL yana"" was in theHost field.  After connection, it reverted to 'localhost'.
That's a bit confusing.
My local machine is linux 2.4.31, running an install of 'linux-rhel3' (compiled on hoth).
"
38,Pending,Bug,Normal, Revolve Operator ignores vectors ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,2 - Rare,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008194cq-submitter: Ellen Tarwatercq-submit-date: 08/15/07
Janet Jacobsen from LBL reports that the Revolve Operator is not applying the transform to vectors.
"
39,Pending,Feature,Normal, Native precision for label plot. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,,,2.12.3,4 - High,3 - Occasional,All,DOE/ASC,"
cq-id: VisIt00006343cq-submitter: Hank Childscq-submit-date: 06/23/05

From Rob Neely's e-mail:

Another thing that would be nice is if the label plot and pick function would print out double precision data if that's what's in your data file.  It's hard to debug things like symmetry problems that start out small when you can't see all your precision.
Modification by KSB 12 July 2005:Changed headline to 'native' precision from 'double'.Removed pick from headline as it is covered by ticket '6112.
"
40,Pending,Feature,Normal, Display documentation in the Query window about what each of the queries does ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,,,2.12.3,4 - High,3 - Occasional,All,DOE/ASC,"
cq-id: VisIt00007714cq-submitter: Eric Bruggercq-submit-date: 02/01/07
Display documentation in the Query window about what each of thequeries does.  That way, the user is encouraged to explore the window,rather than being daunted by the sheer number of Queries.
"
41,Pending,Bug,Normal, time arg to CLI's GetMetaData method corrupts correlation behavior ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008178cq-submitter: Mark Millercq-submit-date: 08/07/07
visit -diff makes use of CLI's GetMetaData method. That method takes an optional timestate argument. However, when that argument is provided AND is non-zero, its uses causes all sorts of problems with correlation behavior.
To demonstrate the problem, edit visitdiff.py in SyncTimeStates method and comment out the calls to GetMetaData with 'currentTimeState' arg. You will see a difference in behavior between the two cases. The one WITHOUT currentTimeState arg. behaves as expected. The one with behaves very strangely. Nothing is correlated/locked in time. Try runint the diff.py test in tests/databases and you should see the problem.
"
42,Pending,Bug,Normal, Limiting range of query over time is broken ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,4 - Crash / Wrong Results,2.0.0,,,All,DOE/ASC,"
cq-id: VisIt00008985cq-submitter: Eric Bruggercq-submit-date: 10/09/09
Hank Shay was trying to limit the extent of a query over time and ran into several problems.He was looking at silo files and the time slider displayed cycle numbers so it had not readthe times from all the files. So here are his problems.
1) He tried to limit it by time and specified a time less than between 0 and 1 and theGUI just set it to 0 after he hit Apply. I assume the GUI is code so as to only takeintegers. It should take them for times.
2) He tried to limit it by cycle and set it to a reasonable cycle and then it said that itwas out of range. When he did the query it did the entire range.
I also played with query over time with wave and set the cycle range to be 10 to 50, whichworked, but the cycles displayed on the x axis went from 100 to 500. I don't know why thiswas off by a factor of 10.
"
43,Resolved,Bug,Normal, help still points users to obsolete -default_format command line flag ,Eric Brugger,-,2.1,Cyrus Harrison,,,100%,2.00 hours,06/21/2010 07:15 pm,08/24/2010 01:07 pm,2 - Rare,2 - Minor Irritation,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008937cq-submitter: Cyrus Harrisoncq-submit-date: 06/11/09
Under:
""Working with databases"" --> ""Supported File Types"" --> ""File Extensions""
Help still lists 'default_format' as the method to force a database type via the command line. It should be updated with 'force_format' and 'assume_foramt'
"
44,Rejected,Feature,Normal, add version check to build_visit ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,07/06/2010 09:06 pm,,,2.12.3,4 - High,2 - Rare,All,Any,"
cq-id: VisIt00008800cq-submitter: Mark Millercq-submit-date: 11/05/08
The build_visit script has logic that is somewhat specific to the structure, contents of a visit source code tree. So, we ought to start adding version checking logic to it to abort and print a nice error message whenever it is being used to build a version of VisIt it was not designed for. This would prevent a lot of messages to the help line such as those recently related to hdf5.
"
45,Pending,Bug,Normal, Overlayed curve view can get out of sink with 2d plot view. ,-,-,-,Cyrus Harrison,,,0%,,06/21/2010 07:15 pm,,3 - Occasional,4 - Crash / Wrong Results,< 1.12,,,All,DOE/ASC,"
cq-id: VisIt00008835cq-submitter: Cyrus Harrisoncq-submit-date: 12/08/08
1) Open rect2d.silo2) Make a Boundary Plot of ""mat"", turn on only mats 16,183) Set the Save Window options to output an ultra file and save4) Close VisIt
5) Restart VisIt and open and plot the new curve file.6) Open rect2d.silo and create the Boundary plot from step 2.
Notice the curves do not match - this appears to be b/c the curve view is out of sink with the 2d view.
If you delete both plots, and draw the boundary plot before the curve, the views will match.
"
